"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NUOUPUS","198707","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198708","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198709","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198710","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198711","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198712","107","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198713","107","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198801","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198802","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198803","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198804","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198805","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198806","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198807","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198808","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198809","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198810","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198811","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198812","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198813","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198901","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198902","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198903","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198904","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198905","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198906","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198907","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198908","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198909","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198910","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198911","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198912","111","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198913","111","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199001","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199002","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199003","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199004","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199005","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199006","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199007","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199008","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199009","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199010","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199011","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199012","112","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199013","112","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199101","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199102","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
